chinese,pinyin,english,speech
等地,děng dì,etc,noun
细节,xì jié,detail,noun
视频,shì pín,video,noun
俱乐部,jù lè bù,club,noun
主席,zhǔ xí,president,noun
合同,hé tóng,contract,noun
做爱,zuò aì,have sex,verb
上床,shàng chuáng,have sex,verb
效率,xiào lǜ,effectiveness,noun
课题,kè tí,topic,noun
共用,gòng yòng,share,verb
冷冻食品,lěng dòng shí pǐn,frozen food,noun
房租,fáng zū,rent,noun
互动,hù dòng,interact,verb
拒绝,jù jué,refuse,verb
莫通车,mó tò ché,motorcycle,noun
忽略,hū lüè,neglect,verb
后果,hoù guǒ,consequence,noun
测验,cè yàn,quiz,noun
计算机语言,jì suàn jī yǔ yán,computer language,noun
计算器,jì suàn qì,calculator,noun
峰哥,fēng gé,style,noun
古典,gú diǎn,classical,adjective
经典,jīng diǎn,classic,noun
现代,xiàn dài,modern,adjective
题材,tí cái,genre ,noun
权利,quán lì,rights,noun
权力,quán lì,authority,noun
高汤,gāo tāng,broth,noun
特质,tè zhì,specially made ,adjective
恢复,huī fù,recover,verb
咨询,zī xún,consult,verb
文艺,wén yì,artsy,adjective
编程,biān chéng,programming,noun
统计,tǒng jì,statistics,noun
教育,jiào yù,education,noun
报课,bào kè,sign up for classes,verb
交流,jiāo liú,communication,noun
沟通,gōu tōng,communication,noun
传播,chuán bō,communications,noun
伊朗,yī lǎng,Iran,noun
波斯,bō sī,Persian,adjective
背诵,bèi sòng,memorize,verb
替补,tì bǔ,substitute,verb
条理,tiáo lǐ,organized,adjective
调理,tiáo lǐ,rest and recover,verb
画家,huà jiā,artist,noun
动力,dòng lì,motivation,noun
主动,zhǔ dòng,proactive,adjective
研究员,yán jiū yuán, researcher,noun
职员,zhí yuán,staff,noun
队员,duì yuán,team member,noun
组员,zǔ yuán,team member,noun
优先,yòu xiān,priority,noun
误导,wù dǎo,mislead,verb
富有,fú yǒu,be rich in,adjective
哲理,zhé lǐ,philosophy,noun
哲学,zhé xué,philosophy,noun
心理生物学,xīn lǐ shēng wù xué,psychobiology,noun
侧重点,cè zhòng,concentration,noun
本科生,běn kē shēng,undergraduate student,noun
研究生,yán jiū shēng,graduate student,noun
博士学位,bó shì,PhD degree,noun
博士生,bó shì shēng,doctoral student,noun
学士学位,xué shì xué wèi,bachelor’s degree,noun
硕士生,shuò shì shēng,master’s degree student,noun
硕士学位,shuò shì xué wèi,master’s degree,noun
词组,cí zú,phrase,noun
窃笑,qiè xiào,snickering,verb
精神,jīng shén,energetic,noun
创造精神,chuàng zào,full of creativity,noun
冒险精神,mào xiǎn,adventurous spirit,noun
木星,mù xīng,Jupiter,noun
