Number,Character,Pinyin,English,CHR/million,Known,,,,,,,,
1,我,wǒ,I  ,43956.7,1,,,,,,,,
2,的,de,of  ,37618.23,1,,,,,,,,
3,你,nǐ,you  ,30845.37,1,,,,,,,,
4,是,shì,am/are/is  ,25022.86,1,,,,,,,,
5,了,le,completed action marker  ,21220.47,1,,,,,,,,
6,不,bù,no/not  ,19313.7,1,,,,,,,,
7,们,men,plural marker  ,14981.59,1,,,,,,,,
8,这,zhè,this  ,13531.75,1,,,,,,,,
9,一,yī,one  ,12895.86,1,,,,,,,,
10,他,tā,he  ,12050.89,1,,,,,,,,
11,么,me,question particle  ,11908.43,1,,,,,,,,
12,在,zài,at/in  ,11664.27,1,,,,,,,,
13,有,yǒu,have  ,11392.37,1,,,,,,,,
14,个,gè,measure word  ,9669.35,1,,,,,,,,
15,好,hǎo,good  ,8811.92,1,,,,,,,,
16,来,lái,come  ,8067.74,1,,,,,,,,
17,人,rén,person  ,7969.33,1,,,,,,,,
18,那,nà,that  ,7792.81,1,,,,,,,,
19,要,yào,want  ,7594.4,1,,,,,,,,
20,会,huì,can  ,6863.37,1,,,,,,,,
21,就,jiù,then/just  ,6699.1,1,,,,,,,,
22,什,shén,what  ,6558,1,,,,,,,,
23,没,méi,not have  ,6273.85,1,,,,,,,,
24,到,dào,arrive/reach  ,6196.08,1,,,,,,,,
25,说,shuō,say  ,6016.96,1,,,,,,,,
26,吗,ma,question particle  ,5408.46,1,,,,,,,,
27,为,wèi,for  ,5320.78,1,,,,,,,,
28,想,xiǎng,think  ,5282.82,1,,,,,,,,
29,能,néng,can  ,5158.23,1,,,,,,,,
30,上,shàng,up/on  ,5047.94,1,,,,,,,,
31,去,qù,go  ,4960.3,1,,,,,,,,
32,道,dào,path/way  ,4921.55,1,,,,,,,,
33,她,tā,she  ,4920.21,1,,,,,,,,
34,很,hěn,very  ,4688.66,1,,,,,,,,
35,看,kàn,look  ,4568.08,1,,,,,,,,
36,可,kě,can/okay  ,4540.24,1,,,,,,,,
37,知,zhī,know  ,4516.16,1,,,,,,,,
38,得,de,particle for complements  ,4441.7,1,,,,,,,,
39,过,guò,experience marker  ,4232.99,1,,,,,,,,
40,吧,ba,suggestive particle  ,4209.1,1,,,,,,,,
41,还,hái,still  ,4107.27,1,,,,,,,,
42,对,duì,right  ,4094.55,1,,,,,,,,
43,里,lǐ,inside  ,4071.08,1,,,,,,,,
44,以,yǐ,because  ,3939.02,1,,,,,,,,
45,都,dōu,all  ,3855.31,1,,,,,,,,
