Number,Chinese,Part,Freq,Difficulty
1,我们,pronoun,371696,1
2,什么,pronoun,236517,1
3,知道,verb,196745,1
4,他们,pronoun,140460,1
5,一个,mq,116726,1
6,你们,pronoun,112946,1
7,这个,pronoun,92058,1
8,怎么,pronoun,89166,1
9,现在,time word,88120,1
10,可以,verb,79198,1
11,这样,pronoun,64295,1
12,告诉,verb,61222,1
13,没有,"adverb, verb",54118.5,1
14,这里,pronoun,53900,1
15,但是,conjunction,52718,1
16,时候,common noun,52176,1
17,已经,adverb,51772,1
18,谢谢,verb,51457,1
19,为什么,pronoun,51063,1
20,觉得,verb,51047,1
21,这么,pronoun,49082,1
22,先生,common noun,46864,1
23,是的,verb,44210,1
24,那个,pronoun,41417,1
25,如果,"conjunction, verb",38208.5,1
26,应该,verb,37811,1
27,孩子,common noun,37243,1
28,起来,verb,37205,1
29,所以,conjunction,37014,1
30,这些,pronoun,36735,1
31,还有,verb,35932,1
32,问题,common noun,33364,1
33,时间,common noun,30703,1
34,因为,"conjunction, preposition",29911.5,1
35,然后,conjunction,29752,1
36,自己,"pronoun, verb",28989,1
37,事情,common noun,28176,1
38,看到,verb,26783,1
39,那些,pronoun,26450,1
40,也许,adverb,26083,1
41,朋友,common noun,26017,1
42,妈妈,common noun,25730,1
43,相信,verb,25699,1
44,认为,verb,25294,1
45,这儿,pronoun,24824,1
46,今天,time word,24750,1
47,一直,adverb,24551,1
48,看看,verb,24319,1
49,地方,common noun,23358,1
50,喜欢,"verb, verb with nominal function",23073,1
51,回来,verb,22423,1
52,可能,"common noun, verb",22212,1
53,找到,verb,22128,1
54,爸爸,common noun,21930,1
55,一切,pronoun,21709,1
56,怎么样,pronoun,20986,1
57,出来,verb,20938,1
58,那么,"conjunction, pronoun",20897,1
59,不要,adverb,20679,1
60,对不起,verb,20548,1
61,离开,verb,20359,1
62,而且,conjunction,19404,1
63,必须,adverb,19320,1
64,不错,adjective,18930,1
65,电话,common noun,18374,1
66,第一,numeral,18192,1
67,那样,pronoun,17495,1
68,一些,mq,17133,1
69,那里,pronoun,16783,1
70,以为,verb,16582,1
71,一起,"adverb, space word",16444,1
72,过来,verb,16223,1
73,开始,"verb, verb with nominal function",16063,1
74,医生,common noun,15679,1
75,最后,directional locality,15200,1
76,之前,directional locality,15187,1
77,伙计,common noun,15063,1
78,任何,pronoun,14918,1
79,很多,numeral,14874,1
80,哪儿,pronoun,14873,1
81,需要,"common noun, verb, verb with nominal function",14787.33333,1
82,这种,pronoun,14615,1
83,上帝,common noun,14605,1
84,女人,common noun,14388,1
85,名字,common noun,14335,1
86,今晚,time word,14178,1
87,其他,pronoun,14163,1
88,就是,"adverb, verb",14068.5,1
89,记得,verb,13898,1
90,所有,"non-predicate adjective, verb",13874.5,1
91,家伙,common noun,13846,1
92,一下,"adverb, mq",13585.5,1
93,非常,"adverb, non-predicate adjective",13488,1
94,哪里,pronoun,13471,1
95,继续,verb,13221,1
96,女孩,common noun,13197,1
97,当然,"adverb, non-predicate adjective",13156.5,1
98,亲爱,adjective,12783,1
99,下来,verb,12748,1
100,东西,"common noun, directional locality, personal name",12709,1
101,父亲,common noun,12399,1
102,以前,directional locality,12391,1
103,美国,place name ,12185,1
104,宝贝,common noun,11950,1
105,世界,common noun,11721,1
106,重要,adjective,11677,1
107,别人,pronoun,11613,1
108,男人,common noun,11608,1
109,机会,common noun,11571,1
110,出去,verb,11524,1
111,看见,verb,11442,1
112,发生,"verb, verb with nominal function",11301,1
113,打电话,verb,11289,1
114,好像,verb,11214,1
115,得到,verb,11188,1
116,警察,common noun,11176,1
117,准备,"verb, verb with nominal function",11101,1
118,儿子,common noun,11100,1
119,之后,directional locality,11098,1
120,漂亮,adjective,11032,1
121,分钟,qt,11029,1
122,再见,verb,10958,1
123,如何,pronoun,10879,1
124,情况,common noun,10673,1
125,感觉,"common noun, verb",10657.5,1
126,女士,common noun,10544,1
127,见到,verb,10317,1
128,关于,preposition,10266,1
129,那儿,pronoun,10254,1
130,只要,conjunction,10236,1
131,里面,directional locality,10183,1
132,一点,"mq, time word",10171,1
133,一定,"adverb, non-predicate adjective",10136.5,1
134,明天,time word,10108,1
135,工作,"common noun, verb, verb with nominal function",10063.66667,1
136,公司,common noun,10046,1
137,成为,verb,10038,1
138,多少,pronoun,9965,1
139,它们,pronoun,9933,1
140,确定,verb,9888,1
141,发现,"verb, verb with nominal function",9887,1
142,一样,"adjective, adjective as adverbial, auxiliary",9620.333333,1
143,意思,"common noun, verb",9619.5,1
144,晚上,time word,9574,1
145,怎样,pronoun,9529,1
146,没什么,verb,9452,1
147,回家,verb,9360,1
148,愿意,verb,9191,1
149,为了,"preposition, verb",9137,1
150,不能,verb,9019,1
151,他妈的,verb,9006,1
152,她们,pronoun,8912,1
153,有些,pronoun,8889,1
154,希望,"common noun, verb, verb with nominal function",8886,1
155,谈谈,verb,8820,1
156,大家,"common noun, pronoun",8729,1
157,以后,directional locality,8698,1
158,照片,common noun,8687,1
159,每个,pronoun,8685,1
160,兄弟,common noun,8631,1
161,从来,adverb,8581,1
162,总是,adverb,8551,1
163,拜托,verb,8456,1
164,女儿,common noun,8450,1
165,小姐,common noun,8423,1
166,消息,common noun,8346,1
167,或许,adverb,8315,1
168,如此,pronoun,8305,1
169,明白,"adjective, adjective with nominal function, verb",8248,1
170,高兴,"adjective, adjective with nominal function",8240,1
171,房子,common noun,8223,1
172,衣服,common noun,8130,1
173,听说,verb,8098,1
174,参加,verb,8081,1
175,办法,common noun,8059,1
176,回去,verb,7993,1
177,人们,common noun,7990,1
178,等等,"auxiliary, verb",7960.5,1
179,生活,"verb, verb with nominal function",7959,1
180,该死,verb,7905,1
181,原因,common noun,7829,1
182,不过,"adverb, auxiliary, conjunction",7777.666667,1
183,下去,verb,7767,1
184,混蛋,common noun,7572,1
185,学校,common noun,7502,1
186,看来,verb,7416,1
187,电影,common noun,7249,1
188,身上,space word,7228,1
189,房间,common noun,7208,1
190,抱歉,"adjective, adjective as adverbial, adjective with nominal function",7187.666667,1
191,只是,"adverb, conjunction, verb",7071,1
192,其实,adverb,7067,1
193,进来,verb,6999,1
194,当时,time word,6935,1
195,或者,"adverb, conjunction",6798.5,1
196,长官,common noun,6780,1
197,进去,verb,6757,1
198,至少,adverb,6750,1
199,律师,common noun,6747,1
200,过去,"time word, verb",6742.5,1
201,听到,verb,6695,1
202,还是,"adverb, conjunction, verb",6666,1
203,正在,adverb,6653,1
204,担心,"verb, verb with nominal function",6619,1
205,感到,verb,6612,1
206,那边,pronoun,6572,1
207,故事,common noun,6551,1
208,咱们,pronoun,6519,1
209,妻子,common noun,6494,1
210,是否,verb,6434,1
211,刚刚,adverb,6422,1
212,案子,common noun,6413,1
213,第二,numeral,6379,1
214,失去,verb,6314,1
215,刚才,time word,6280,1
216,节目,common noun,6253,1
217,之间,directional locality,6212,1
218,别的,pronoun,6210,1
219,母亲,common noun,6195,1
220,主意,common noun,6144,1
221,丈夫,common noun,6115,1
222,变成,verb,6103,1
223,完全,"adjective, adjective as adverbial",6034,1
224,生命,common noun,5898,1
225,有点,adverb,5896,1
226,办公室,common noun,5882,1
227,难道,adverb,5875,1
228,小时,"classifier, common noun",5854.5,1
229,帮忙,verb,5724,1
230,讨厌,verb,5691,1
231,曾经,adverb,5689,1
232,眼睛,common noun,5673,1
233,外面,directional locality,5603,1
234,国家,common noun,5576,1
235,看上去,verb,5566,1
236,总统,common noun,5549,1
237,最近,time word,5532,1
238,声音,common noun,5523,1
239,可爱,adjective,5498,1
240,进入,verb,5490,1
241,能够,verb,5483,1
242,事实上,fixed expressions,5461,1
243,昨晚,time word,5434,1
244,医院,common noun,5391,1
245,不行,adjective,5389,1
246,上面,directional locality,5363,1
247,比赛,"verb, verb with nominal function",5363,1
248,样子,common noun,5337,1
249,有趣,adjective,5296,1
250,关系,"common noun, verb",5283.5,1
251,真是,"adverb, verb",5279.5,1
252,没关系,verb,5276,1
253,杰克,personal name,5239,1
254,糟糕,adjective,5213,1
255,马上,"adverb, space word",5206.5,1
256,决定,"common noun, verb",5159,1
257,除了,preposition,5147,1
258,虽然,conjunction,5141,1
259,想到,verb,5127,1
260,证据,common noun,5118,1
261,夫人,common noun,5082,1
