Name,Chinese,Pinyin,English,
1,等等,děng děng,etc,
2,细节,xì jié,details,
3,视频,shì pín,video,
4,俱乐部,jù lè bù,club,
5,主席,zhǔ xí,president; chairperson,
6,合同,hé tóng,contract,
7,做爱,zuò aì,make love,
8,上床,shàng chuáng,have sex,
9,效率,xiào lǜ,"effectiveness, efficiency",
10,课题,kè tí,topic,
11,共用,gòng yòng,share,
12,冷冻食品,lěng dòng shí pǐn,frozen food,
13,房租,fáng zū,rent,
14,互动,hù dòng,interact,
15,拒绝,jù jué,refuse,
16,莫通车,mó tò chē,motorcycle,
17,忽略,hū lüè,neglect,
18,后果,hoù guǒ,consequence,
19,测验,cè yàn,quiz,
20,计算机语言,jì suàn jī yǔ yán,computer language,
21,计算器,jì suàn qì,calculator,
22,风格,fēng gé,"style (art, music, writing, speech, everything)",
23,古典,gú diǎn,classical,
24,经典,jīng diǎn,classic (as in that one’s a classic),
25,现代,xiàn dài,modern,
26,题材,tí cái,genre (specific topic like movies and books),
27,权利,quán lì,rights,
28,权力,quán lì,"authority, power",
29,高汤,gāo tāng,broth,
30,特质,tè zhì,specially made (food etc),
31,恢复,huī fù,recover,
32,咨询,zī xún,consult,
33,文艺,wén yì,artsy,
34,编程,biān chéng,programming,
35,统计,tǒng jì,statistics,
36,教育,jiào yù,education,
37,报课,bào kè,sign up for classes,
38,交流,jiāo liú,"communication, dialogue",
39,沟通,gōu tōng,"communication, understanding",
40,传播,chuán bō,"disseminate, broadcast",
41,伊朗,yī lǎng,Iran,
42,波斯,bō sī,Persian,
43,背诵,bèi sòng,memorize,
44,替补,tì bǔ,substitute,
45,条理,tiáo lǐ,organized,
46,调理,tiáo lǐ,rest and recover,
47,画家,huà jiā,artist,
48,动力,dòng lì,motivation,
49,主动,zhǔ dòng,proactive; initiate,
50,研究员,yán jiū yuán,researcher,
51,职员,zhí yuán,staff,
52,队员,duì yuán,team member,
53,组员,zǔ yuán,team member,
54,优先,yòu xiān,priority,
55,误导,wù dǎo,mislead,
56,富有,fù yǒu,be rich in,
57,哲理,zhé lǐ,philosophical,
58,哲学,zhé xué,philosophy,
59,心理生物学,xīn lǐ shēng wù xué,psychobiology,
60,侧重点,cè zhòng diǎn,concentration/focus,
61,本科生,běn kē shēng,undergraduate student,
62,研究生,yán jiū shēng,graduate student,
63,博士学位,bó shì xué wèi,PhD degree,
64,博士生,bó shì shēng,doctoral student,
65,学士学位,xué shì xué wèi,bachelor’s degree,
66,硕士生,shuò shì shēng,master’s degree student,
67,硕士学位,shuò shì xué wèi,master’s degree,
68,词组,cí zǔ,phrase,
69,窃笑,qiè xiào,snickering,
70,精神,jīng shén,"energetic, alertness",
71,创造精神,chuàng zào jīng shén,full of creativity,
72,冒险精神,mào xiǎn jīng shén,adventurous spirit,
73,木星,mù xīng,Jupiter,
74,土星,tǔ xīng,Saturn,
75,火星,huǒ xīng,Mars,
76,金星,jīn xīng,Venus,
77,水星,shuǐ xīng,Mercury,
78,海王星,hǎi wáng xīng,Neptune,
79,天王星,tiān wáng xīng,Uranus,
80,冥王星,míng wáng xīng,Pluto,
81,伊甸园,yī diàn yuán,garden of Eden,
82,谦虚,qiān xū,modest (in attitude),
83,保守,bǎo shǒu,modest (in appearance); conservative,
84,收入,shōu rù,income,
85,实习生,shí xí shēng,intern,
86,实习,shí xí,internship,
87,穿墙,chuān qiáng,pass the firewall (slang),
88,公益机构,gōng yì jī gòu,nonprofit organization,
89,志愿者,zhì yuàn zhě,volunteer (person),
90,义工,yì gōng,volunteer (person),
91,做义工,zuò yì gōng,do volunteer work,
92,义务,yì wù,obligation,
93,总统,zǒng tǒng,president,
94,秘书,mì shū,secretary,
95,选举,xuǎn jǔ,election (choose/recommend),
96,选,xuǎn,"elect, choose",
97,推荐,tuī jiàn,recommend,
98,举个例子,lì zi,give an example,
99,栗子,lì zi,chestnut,
100,宿舍,sù shè,dorm,
101,公寓,gōng yù,apartment,
102,同犯,tóng fàn,accomplice,
103,不屑一顾,bú xiè yí gù,didn’t give it a second glance (unimpressed),
104,向日葵,xiàng rì kuí,sunflower,
105,晒,shaì,show off,
106,灵魂,líng hún,soul,
107,晕倒,yūn dǎo,to faint,
108,让一让,ràng yí ràng,excuse me,
109,口语,kǒu yǔ,colloquial,
110,晚点,wǎn diǎn,delayed,
111,在这种情况下,qíng kuàng,under these circumstances,
112,素菜,sù cài,vegetarian dish,
113,成语,chéng yǔ,aphorism,
114,俗语,sú yǔ,idiom,
115,交谈,jiāo tán,conversation,
116,允许,yún xǔ,allow,
117,批准,pī zhǔn,approve (more formal),
118,规矩,guī jǔ,rule,
119,规则,guī zé,rule (game rule),
120,最佳,zuì jiā,best (formal/title),
121,导演,dǎo yǎn,director,
122,农场主,nóng mín zhǔ,farm owner (like in America),
123,农民,nóng mín,small farmers (like in China),
124,农民工,nóng mín gōng,farmers who moved to the city to find work,
125,户口,hù kǒu,“registered residence” allows your kids to go to a certain school etc. based on evidence of where you live,
126,快递,kuài dì,express delivery (of packages),
127,快递公司,kuài dì gōng sī,like USPS (a type of relatively fast delivery company),
128,情况,qíng kuàng,situation,
129,托盘,tuō pán,tray,
130,塑料,sù liào,plastic,
131,叉子,chā,fork,
132,确定,què dìng,"determine, certain",
133,钢刀,gāng dāo,steel knife,
134,紧,jǐn,tight,
135,并,bìng,"and, furthermore; actually",
136,额头,é tóu,forehead,
137,印记,yìn jì,imprint,
138,窗台,chuāng tái,windowsill,
139,继续,jì xù,continue,
140,前进,qián jìn,go ahead,
141,透过,tòu guò,pass through,
142,任何,rèn hé,any,
143,锁眼,suǒ yǎn,keyhole,
144,守卫,shǒu wèi,guard,
145,引起,yǐn qǐ,cause,
146,纹身,wén shēn,tattoo,
147,囚犯,qiú fàn,prisoner,
148,甚至,shèn zhì,even (I don’t even know...),
149,必须,bì xū,must,
150,配合,pèi hé,cooperate,
151,威胁,wēi xié,threaten,
152,讨论,tǎo lùn,discuss,
153,警卫,jǐng wèi,guard,
154,沿着,yán zhe,along,
155,圈,quān,circle,
156,反应,fǎn yìng,reaction,
157,不管,bù guǎn,"ignore, regardless",
158,查看,chá,examine,
159,实验,shí yàn,experiment,
160,面具,miàn jù,mask,
161,尽头,jìn tóu,"end, limit",
162,建议,jiàn yì,suggest,
163,抓住,zhuā zhù,capture,
164,可能性,kě néng xìng,probability,
165,出现,chū xiàn,"emerge, appear",
166,通向,tōng xiàng,to lead to,
167,实验室,shí yàn shì,lab,
168,这样一来,zhè yàng yì lái,"therefore, if (this) happens then",
169,图标,tú biāo,icon (computer),
170,躺,tǎng,lying down,
171,信息,xìn xī,"message, news; information",
172,手术,shǒu shù,surgery,
173,假装,jiǎ zhuāng,pretend,
174,柜子,guì zi,cabinet,
175,文件,wén jiàn,document,
176,行为,xíng wéi,"behavior, activity, conduct",
177,脱,tuō,take off (clothing),
178,招手,zhāo shǒu,wave,
179,至少,zhǐ shǎo,at least,
180,货车,huò chē,truck,
181,躲,duǒ,hide,
182,注视,zhù shì,watch attentively,
183,示意,shì yì,"signal, indicate (to someone)",
184,摘下,zhāi,"take off, remove, pick (as fruit)",
185,肩膀,jiān bǎng,shoulder,
186,挥手,huī shǒu,wave,
187,准时,zhǔn shí,on time,
188,事业,shì yè,"cause, career, facility",
189,季,jì,season (of a show),
190,信任,xìn rèn,trust,
191,理论,lǐ lùn,theory (formal but usable),
192,观点,guān diǎn,opinion,
193,看法,kàn fǎ,"opinion, comment, stance",
194,通俗,tōng sú,"informal, popular",
195,演唱会,yǎn chàng huì,vocal concert,
196,音乐会,yīn yuè huì,orchestral concert,
197,音乐剧,yīn yuè jù,musical play,
198,歌剧,gē jù,opera,
199,话剧,huà jù,stage play,
200,主题,zhǔ tí,theme,
201,辅导,fǔ dǎo,"coach, tutor, counsel",
202,口音,kǒu yīn,orally,
203,大饱口福,dà bǎo kǒu fú,satisfied,
204,埋怨,mán yuàn,"complain, blame",
205,杂,zá,varied,
206,砸,zá,"break, fail",
207,变性,biàn xìng,transgender,
208,业,yè,"industry, business, profession",
209,代,dài,generation,
210,利弊,lì bì,pros and cons,
211,资本主义,zī běn zhǔ yì,capitalism,
212,共产主义,gòng chǎn zhǔ yì,communism,
213,议会,yì huì,legislative assembly,
214,主意,zhǔ yi,idea,
215,主义,zhǔ yì,\ism,
216,分解,fēn jiě,"disintegrate,decompose",
217,受潮,shòu cháo,damp,
218,大豆,dà dòu,soybeans,
219,评分,píng fēn,rating,
220,提议,tí yì,propose,
221,意见,yì jiàn,objection,
222,周到,zhōu dào,1. considerate (as a host) 2. thorough,
223,高粱,gāo liáng,sorghum,
224,山火,shān huǒ,mountain wildfire,
225,火灾,huǒ zāi,wildfire,
226,旱灾,hàn zāi,drought,
227,赈灾,zhèn zāi,disaster relief,
228,蝗灾,huáng zāi,locust swarm,
229,挡风玻璃,dǎng fēng bō lí,windshield,
230,情绪,qíng xù,"emotions, moody",
231,低落,dī luò,depress,
232,成份,chéng fèn,ingredients,
